timestamp,workload,io_wait,memory_usage,disk_write_bytes,cpu_usage,disk_read_bytes,cpu_idle,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_max_wal_size_gb,pg_min_wal_size_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb,
1519760084,2.4000000000000004,1.0500000000004661,60.94468041578702,79462.4,6.4499999999861615,0,93.55000000001384,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760086,2.2,1.0500000000004661,60.94468041578702,79462.4,6.4499999999861615,0,93.55000000001384,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760088,2.2,1.29999999999967,60.94563479662756,670105.6,4.399999999996012,0,95.60000000000399,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760090,2.2,1.29999999999967,60.94563479662756,670105.6,4.399999999996012,0,95.60000000000399,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760092,1,2.349999999999852,60.96261788132837,2.4338432e+06,6.249999999990919,2457.6,93.75000000000911,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760094,1,2.349999999999852,60.96261788132837,2.4338432e+06,6.249999999990919,2457.6,93.75000000000911,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760096,2.2,2.349999999999852,60.96261788132837,2.4338432e+06,6.249999999990919,2457.6,93.75000000000911,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760098,2.2,0.9000000000003182,61.756344613707014,264601.6,24.79999999999562,25395.2,75.20000000000438,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760100,2.2,0.9000000000003182,61.756344613707014,264601.6,24.79999999999562,25395.2,75.20000000000438,44,90,99,1,2,2,0,1,2,53,81,122,24,634,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760102,3.6,14.450000000000502,61.41271856850705,1.0338304e+06,24.100000000007626,1638.4,75.89999999999235,44,90,99,1,2,2,0,1,2,54,81,122,24,633,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
1519760104,3.6,14.450000000000502,61.41271856850705,1.0338304e+06,24.100000000007626,1638.4,75.89999999999235,44,90,99,1,2,2,0,1,2,54,81,122,24,633,1234,694,2170,3771,28,57,107,0.9,100,12000,1024,2,1000,4,4000,128,3000,
