,CPUIdle,CPUUsage,HTTPRequestCount,IOWait,MemoryUsage,app_http_request_latency_GET_metrics_0.5,app_http_request_latency_GET_metrics_0.9,app_http_request_latency_GET_metrics_0.99,app_http_request_latency_GET_recipes_0.5,app_http_request_latency_GET_recipes_0.9,app_http_request_latency_GET_recipes_0.99,app_http_request_latency_POST_houses_0.5,app_http_request_latency_POST_houses_0.9,app_http_request_latency_POST_houses_0.99,app_http_request_latency_POST_recipes_0.5,app_http_request_latency_POST_recipes_0.9,app_http_request_latency_POST_recipes_0.99,app_http_request_latency_POST_schedules_0.5,app_http_request_latency_POST_schedules_0.9,app_http_request_latency_POST_schedules_0.99,app_http_request_latency_POST_startworkflow_0.5,app_http_request_latency_POST_startworkflow_0.9,app_http_request_latency_POST_startworkflow_0.99,app_http_request_latency_POST_storages_0.5,app_http_request_latency_POST_storages_0.9,app_http_request_latency_POST_storages_0.99,app_http_request_latency_POST_users_0.5,app_http_request_latency_POST_users_0.9,app_http_request_latency_POST_users_0.99,app_knobs_k1,app_knobs_k2,app_knobs_k3,app_knobs_k4,app_knobs_k5,
0E+00,5.014999999999873E+01,4.985000000000127E+01,1E+00,1.0499999999998977E+00,5.947520310570208E+01,1E+00,2E+00,3E+00,1.004E+03,1.008E+03,1.244E+03,3.062E+03,3.826E+03,3.826E+03,2.353E+03,2.534E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,5.900000000000546E+01,4.099999999999454E+01,1E+00,3.049999999999926E+00,5.920445260263326E+01,1E+00,2E+00,5E+00,1.004E+03,1.008E+03,1.193E+03,3.062E+03,3.826E+03,3.826E+03,2.37E+03,2.597E+03,4.326E+03,4.9E+01,6.92E+02,7.64E+02,0E+00,0E+00,0E+00,1.32E+03,2.365E+03,3.038E+03,6.5E+01,2.57E+02,5.54E+02,1E+03,2E+03,3E+03,4E+03,5E+03,
0E+00,8.884999999998627E+01,1.1150000000013733E+01,1E+00,8.500000000002929E-01,5.9254496418502356E+01,1E+00,2E+00,3E+00,5E+00,8E+00,1.54E+02,4E+01,7.8E+01,1.56E+02,3.14E+02,3.92E+02,4.79E+02,6E+01,6.65E+02,1.017E+03,NaN,NaN,NaN,1.473E+03,2.482E+03,3.251E+03,3.7E+01,7.3E+01,1.66E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.319999999998345E+01,1.6800000000016553E+01,8E-01,3.599999999999923E+00,5.933361214305239E+01,1E+00,2E+00,3E+00,5E+00,8E+00,1.46E+02,3.1E+01,4.5E+01,7.8E+01,3.23E+02,4.15E+02,5.57E+02,6E+01,6.65E+02,1.017E+03,NaN,NaN,NaN,1.473E+03,2.482E+03,3.251E+03,3.7E+01,6.8E+01,8.4E+01,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.895000000000893E+01,1.1049999999991087E+01,8E-01,2.999999999997982E-01,5.9078229618646546E+01,1E+00,2E+00,3E+00,4E+00,8E+00,1.65E+02,3.8E+01,4.5E+01,7.8E+01,3.27E+02,4.15E+02,5.57E+02,6E+01,6.65E+02,1.017E+03,NaN,NaN,NaN,1.487E+03,2.327E+03,3.251E+03,3.9E+01,6.8E+01,8.4E+01,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,7.964999999999236E+01,2.035000000000764E+01,8E-01,4.150000000000134E+00,5.916972782281993E+01,1E+00,2E+00,3E+00,5E+00,8E+00,1.54E+02,3.8E+01,7.8E+01,1.56E+02,3.08E+02,3.92E+02,4.79E+02,6E+01,6.65E+02,1.017E+03,NaN,NaN,NaN,1.473E+03,2.482E+03,3.251E+03,3.6E+01,7E+01,1.66E+02,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,7.514999999999418E+01,2.4850000000005807E+01,6.000000000000001E-01,7.500000000001705E-01,5.947657349870388E+01,1E+00,2E+00,3E+00,4E+00,8E+00,1.65E+02,3.1E+01,4.5E+01,7.8E+01,3.27E+02,3.97E+02,5.57E+02,6E+01,6.57E+02,1.017E+03,NaN,NaN,NaN,1.487E+03,2.327E+03,3.251E+03,3.7E+01,6.8E+01,8.4E+01,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.365000000000464E+01,1.634999999999536E+01,1E+00,2.9999999999972715E-01,5.890083713882497E+01,1E+00,2E+00,3E+00,4E+00,8E+00,1.65E+02,3.8E+01,4.5E+01,7.8E+01,3.27E+02,4.15E+02,5.57E+02,6E+01,6.57E+02,1.017E+03,NaN,NaN,NaN,1.487E+03,2.327E+03,3.251E+03,3.9E+01,6.8E+01,8.4E+01,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,8.240000000000464E+01,1.7599999999995347E+01,4E-01,1.0000000000002274E+00,5.94598595983427E+01,1E+00,2E+00,3E+00,5E+00,8E+00,1.46E+02,3.1E+01,4.5E+01,7.8E+01,3.27E+02,3.97E+02,5.57E+02,6E+01,6.57E+02,1.017E+03,NaN,NaN,NaN,1.487E+03,2.327E+03,3.251E+03,3.7E+01,6.8E+01,8.4E+01,1E+00,2E+00,3E+00,4E+00,5E+00,
0E+00,7.380000000000564E+01,2.619999999999436E+01,1E+00,4.49999999999875E-01,5.961028470159325E+01,1E+00,2E+00,3E+00,4E+00,8E+00,1.65E+02,3.1E+01,4.5E+01,7.8E+01,3.23E+02,3.97E+02,5.57E+02,6E+01,6.57E+02,1.017E+03,NaN,NaN,NaN,1.487E+03,2.327E+03,3.251E+03,3.7E+01,6.8E+01,8.4E+01,1E+00,2E+00,3E+00,4E+00,5E+00,
