timestamp,workload,app_http_request_latency_houses_POST_0.5,app_http_request_latency_houses_POST_0.9,app_http_request_latency_houses_POST_0.99,app_http_request_latency_metrics_GET_0.5,app_http_request_latency_metrics_GET_0.9,app_http_request_latency_metrics_GET_0.99,app_http_request_latency_recipes_GET_0.5,app_http_request_latency_recipes_GET_0.9,app_http_request_latency_recipes_GET_0.99,app_http_request_latency_recipes_POST_0.5,app_http_request_latency_recipes_POST_0.9,app_http_request_latency_recipes_POST_0.99,app_http_request_latency_schedules_POST_0.5,app_http_request_latency_schedules_POST_0.9,app_http_request_latency_schedules_POST_0.99,app_http_request_latency_storages_POST_0.5,app_http_request_latency_storages_POST_0.9,app_http_request_latency_storages_POST_0.99,app_http_request_latency_users_POST_0.5,app_http_request_latency_users_POST_0.9,app_http_request_latency_users_POST_0.99,pg_checkpoint_completion_target,pg_checkpoint_segments,pg_default_statistics_target,pg_effective_cache_size_mb,pg_maintenance_work_mem_mb,pg_random_page_cost,pg_shared_buffers_mb,pg_wal_buffers_mb,pg_work_mem_kb
1517599302,4.8,66,90,633,1,2,3,7,13,43,372,641,1307,46,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599304,4.8,66,90,633,1,2,3,7,13,43,372,641,1307,46,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599306,4.8,66,90,633,1,2,3,7,13,43,372,641,1307,46,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599308,4.8,66,90,633,1,2,3,7,13,43,372,640,1307,46,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599310,4.8,66,90,633,1,2,3,7,13,43,372,640,1307,46,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599312,4.4,66,90,633,1,2,3,7,14,43,372,640,1234,45,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599314,4.4,66,90,633,1,2,3,7,14,43,372,640,1234,45,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599316,4.4,66,90,633,1,2,3,7,14,43,372,640,1234,45,1138,1268,2056,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599318,4,66,90,633,1,2,3,7,13,43,372,641,1234,45,1138,1268,1957,3984,4643,35,84,1846,0.1,1,30,16,8,2,16,2,512
1517599320,4,66,90,633,1,2,3,7,13,43,372,641,1234,45,1138,1268,1957,3984,4643,35,84,1846,0.1,1,30,16,8,2,16,2,512
1517599322,4.2,66,90,633,1,2,3,7,13,43,372,641,1234,45,1138,1268,1957,3984,4643,35,84,1846,0.1,1,30,16,8,2,16,2,512
1517599324,4.2,66,90,633,1,2,3,7,13,43,372,641,1234,45,1138,1268,1957,3984,4643,35,84,1846,0.1,1,30,16,8,2,16,2,512
1517599326,4.2,66,90,633,1,2,3,7,13,43,372,641,1234,45,1138,1268,1957,3984,4643,35,84,1846,0.1,1,30,16,8,2,16,2,512
1517599328,5.6,66,90,633,1,2,3,7,13,43,374,644,1234,45,1129,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599330,5.6,66,90,633,1,2,3,7,13,43,374,644,1234,45,1129,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599332,5,66,90,633,1,2,3,7,13,43,372,642,1234,45,1129,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599334,5,66,90,633,1,2,3,7,13,43,372,642,1234,45,1129,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599336,5,66,90,633,1,2,3,7,13,43,372,642,1234,45,1129,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599338,7.6,67,90,633,1,1,3,7,13,43,372,642,1234,45,1097,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599340,7.6,67,90,633,1,1,3,7,13,43,372,642,1234,45,1097,1268,1957,3984,4643,36,84,1846,0.1,1,30,16,8,2,16,2,512
1517599342,7.6,67,89,633,1,2,3,7,13,43,372,641,1234,45,1097,1268,1912,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599344,7.6,67,89,633,1,2,3,7,13,43,372,641,1234,45,1097,1268,1912,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599346,7.6,67,89,633,1,2,3,7,13,43,372,641,1234,45,1097,1268,1912,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599348,6.2,67,89,633,1,2,3,7,13,43,372,641,1234,45,1050,1268,1878,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599350,6.2,67,89,633,1,2,3,7,13,43,372,641,1234,45,1050,1268,1878,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599352,6.8,67,90,633,1,2,3,7,13,39,372,640,1234,45,1006,1268,1823,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599354,6.8,67,90,633,1,2,3,7,13,39,372,640,1234,45,1006,1268,1823,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517599356,6.8,67,90,633,1,2,3,7,13,39,372,640,1234,45,1006,1268,1823,3919,4643,36,57,1846,0.1,1,30,16,8,2,16,2,512
1517597249,2.99940012,44,89,90,1,2,4,6,11,44,271,450,580,31,759,759,2100,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597251,2.99940012,44,89,90,1,2,4,6,11,44,271,450,580,31,759,759,2100,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597253,3.6,44,89,90,1,2,4,6,11,44,282,464,593,31,759,759,2100,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597255,3.6,44,89,90,1,2,4,6,11,44,282,464,593,31,759,759,2100,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597257,5.6,44,89,90,1,2,4,6,11,44,291,476,593,27,759,759,1386,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597259,5.6,44,89,90,1,2,4,6,11,44,291,476,593,27,759,759,1386,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597261,5.6,44,89,90,1,2,4,6,11,44,291,476,593,27,759,759,1386,2990,2990,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597263,4.8,44,89,90,1,2,4,6,11,44,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597265,4.8,44,89,90,1,2,4,6,11,44,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597267,4,44,89,90,1,2,4,6,12,37,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597269,4,44,89,90,1,2,4,6,12,37,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597271,4,44,89,90,1,2,4,6,12,37,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597273,4.8,44,89,90,1,2,4,6,12,37,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597275,4.8,44,89,90,1,2,4,6,12,37,301,476,593,27,759,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597277,5,44,89,90,1,2,4,6,11,37,301,476,593,43,728,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597279,5,44,89,90,1,2,4,6,11,37,301,476,593,43,728,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597281,5,44,89,90,1,2,4,6,11,37,301,476,593,43,728,759,1386,2990,2990,24,46,119,0.5,3,100,128,16,4,128,128,1024
1517597283,7.6,44,89,90,1,2,4,6,11,44,298,467,593,45,759,1257,2047,3714,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597285,7.6,44,89,90,1,2,4,6,11,44,298,467,593,45,759,1257,2047,3714,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597287,4.8,44,89,90,1,2,4,6,11,44,300,476,593,45,759,1257,2047,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597289,4.8,44,89,90,1,2,4,6,11,44,300,476,593,45,759,1257,2047,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597291,4.8,44,89,90,1,2,4,6,11,44,300,476,593,45,759,1257,2047,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597293,10,44,89,90,1,2,4,6,11,37,300,476,593,45,1081,1257,1391,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597295,10,44,89,90,1,2,4,6,11,37,300,476,593,45,1081,1257,1391,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597297,6.4,44,89,91,1,2,5,6,11,37,303,482,593,45,759,1257,1386,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597299,6.4,44,89,91,1,2,5,6,11,37,303,482,593,45,759,1257,1386,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597301,6.4,44,89,91,1,2,5,6,11,37,303,482,593,45,759,1257,1386,3340,3714,27,46,119,0.5,3,100,128,16,4,128,128,1024
1517597303,6.4,44,89,112,1,2,5,6,11,42,301,476,588,45,759,1257,1386,3340,3714,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597305,6.4,44,89,112,1,2,5,6,11,42,301,476,588,45,759,1257,1386,3340,3714,28,46,119,0.5,3,100,128,16,4,128,128,1024
1517597307,8.2,44,89,112,1,2,5,6,11,42,301,476,588,45,1081,1257,1386,2990,3714,28,46,119,0.5,3,100,128,16,4,128,128,1024
